table,field,table_in_schema,field_in_schema,field_type,field_length
sp0053(业务与技术-主要产品及业务的收入情况),createtime,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),f001Sp0053,业务与技术-主要产品及业务的收入情况,项目(名称/类型),varchar(100),100
sp0053(业务与技术-主要产品及业务的收入情况),stamp,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),uuid,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),f002Sp0053,业务与技术-主要产品及业务的收入情况,收入金额,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),f003Sp0053Org,业务与技术-主要产品及业务的收入情况,占收入比例原文,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),reportType,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),sourceUrl,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),contextref,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),pageIndex,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),accountingYear,业务与技术-主要产品及业务的收入情况,set_default_none,,
sp0053(业务与技术-主要产品及业务的收入情况),f002Sp0053Crt,业务与技术-主要产品及业务的收入情况,收入金额币种,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),f003Sp0053,业务与技术-主要产品及业务的收入情况,占收入比例,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),f002Sp0053Org,业务与技术-主要产品及业务的收入情况,收入金额原文,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),f002Sp0053Unit,业务与技术-主要产品及业务的收入情况,收入金额原文单位,varchar(50),50
sp0053(业务与技术-主要产品及业务的收入情况),dataYear,业务与技术-主要产品及业务的收入情况,年度,varchar(50),50
sp0057(业务与技术-专业资质情况),f002Sp0057,业务与技术-专业资质情况,资质名称,varchar(500),500
sp0057(业务与技术-专业资质情况),f008Sp0057,业务与技术-专业资质情况,批件号,varchar(50),50
sp0057(业务与技术-专业资质情况),createtime,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),stamp,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),f006Sp0057,业务与技术-专业资质情况,颁发机构,varchar(200),200
sp0057(业务与技术-专业资质情况),uuid,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),f001Sp0057,业务与技术-专业资质情况,资质类型,varchar(200),200
sp0057(业务与技术-专业资质情况),reportType,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),sourceUrl,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),f005Sp0057,业务与技术-专业资质情况,有效期,varchar(200),200
sp0057(业务与技术-专业资质情况),contextref,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),pageIndex,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),accountingYear,业务与技术-专业资质情况,set_default_none,,
sp0057(业务与技术-专业资质情况),f004Sp0057,业务与技术-专业资质情况,发证时间,varchar(50),50
sp0057(业务与技术-专业资质情况),f007Sp0057,业务与技术-专业资质情况,证书编号,varchar(500),500
sp0057(业务与技术-专业资质情况),f003Sp0057,业务与技术-专业资质情况,持有人,varchar(300),300
sp0057(业务与技术-专业资质情况),dataYear,业务与技术-专业资质情况,年度,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),createtime,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),f002Sp0026,业务与技术-核心技术产品占营业收入比例,核心技术收入占营业收入比例,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),f001Sp0026,业务与技术-核心技术产品占营业收入比例,核心技术收入,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),stamp,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),f002Sp0026Org,业务与技术-核心技术产品占营业收入比例,核心技术收入占营业收入比例原文,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),f001Sp0026Unit,业务与技术-核心技术产品占营业收入比例,核心技术收入原文单位,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),f001Sp0026Crt,业务与技术-核心技术产品占营业收入比例,核心技术收入币种,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),uuid,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),f001Sp0026Org,业务与技术-核心技术产品占营业收入比例,核心技术收入原文,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),reportType,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),sourceUrl,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),contextref,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),pageIndex,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),accountingYear,业务与技术-核心技术产品占营业收入比例,set_default_none,,
sp0026(业务与技术-核心技术产品占营业收入比例),f003Sp0026Org,业务与技术-核心技术产品占营业收入比例,核心技术收入占主营业务收入比例原文,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),f003Sp0026,业务与技术-核心技术产品占营业收入比例,核心技术收入占主营业务收入比例,varchar(50),50
sp0026(业务与技术-核心技术产品占营业收入比例),dataYear,业务与技术-核心技术产品占营业收入比例,年度,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f013Sp0033Org,本次发行概况-发行概况（三）,预测净利润原文,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f007Sp0033,本次发行概况-发行概况（三）,股东公开发售股份数量,varchar(800),800
sp0033(本次发行概况-发行概况（三）),f013Sp0033Crt,本次发行概况-发行概况（三）,预测净利润币种,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f017Sp0033Unit,本次发行概况-发行概况（三）,发行后每股净资产原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f020Sp0033,本次发行概况-发行概况（三）,发行对象,varchar(600),600
sp0033(本次发行概况-发行概况（三）),f002Sp0033Unit,本次发行概况-发行概况（三）,每股面值原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f017Sp0033,本次发行概况-发行概况（三）,发行后每股净资产,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f004Sp0033Org,本次发行概况-发行概况（三）,发行股数占发行后总股本比例原文,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f013Sp0033Unit,本次发行概况-发行概况（三）,预测净利润原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),uuid,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f016Sp0033Org,本次发行概况-发行概况（三）,发行前每股净资产原文,varchar(300),300
sp0033(本次发行概况-发行概况（三）),reportType,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),sourceUrl,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f014Sp0033,本次发行概况-发行概况（三）,发行前每股收益,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f003Sp0033Up,本次发行概况-发行概况（三）,发行股数上限,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f009Sp0033Unit,本次发行概况-发行概况（三）,每股发行价格原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f004Sp0033,本次发行概况-发行概况（三）,发行股数占发行后总股本比例（不含超额配售）,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f011Sp0033,本次发行概况-发行概况（三）,保荐人相关子公司拟参与战略配售情况,varchar(400),400
sp0033(本次发行概况-发行概况（三）),f017Sp0033Org,本次发行概况-发行概况（三）,发行后每股净资产原文,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f012Sp0033Org,本次发行概况-发行概况（三）,标明计算基础和口径的市盈率原文,varchar(400),400
sp0033(本次发行概况-发行概况（三）),f006Sp0033,本次发行概况-发行概况（三）,发行新股数量占发行后总股本比例,varchar(100),100
sp0033(本次发行概况-发行概况（三）),f015Sp0033,本次发行概况-发行概况（三）,发行后每股收益,varchar(200),200
sp0033(本次发行概况-发行概况（三）),f023Sp0033,本次发行概况-发行概况（三）,拟公开发售股份的股东持股数量,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f018Sp0033Org,本次发行概况-发行概况（三）,标明计算基础和口径的市净率原文,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f016Sp0033Unit,本次发行概况-发行概况（三）,发行前每股净资产原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f018Sp0033,本次发行概况-发行概况（三）,标明计算基础和口径的市净率,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f002Sp0033,本次发行概况-发行概况（三）,每股面值,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f012Sp0033,本次发行概况-发行概况（三）,标明计算基础和口径的市盈率,varchar(300),300
sp0033(本次发行概况-发行概况（三）),f015Sp0033Unit,本次发行概况-发行概况（三）,发行后每股收益原文单位,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f009Sp0033,本次发行概况-发行概况（三）,每股发行价格,varchar(50),50
sp0033(本次发行概况-发行概况（三）),stamp,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f022Sp0033,本次发行概况-发行概况（三）,拟公开发售股份的股东名称,varchar(50),50
sp0033(本次发行概况-发行概况（三）),f002Sp0033Org,本次发行概况-发行概况（三）,每股面值原文,varchar(50),50
sp0033(本次发行概况-发行概况（三）),contextref,本次发行概况-发行概况（三）,set_default_none,,
sp0033(本次发行概况-发行概况（三）),f002Sp0033Crt,本次发行概况-发行概况（三）,每股面值币种,varchar(50),50
