接口名,schema,字段名,schema中字段,字段类型,备注,备注2,
asset_disposal(资产处置公告),01 资产处置公告,amount,（二级）-资产价值,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
asset_disposal(资产处置公告),01 资产处置公告,majorAssetRestruct,（二级）-是否构成重大资产重组,int(4),(0:否，1：是）？,(0:否，1：是）,
asset_disposal(资产处置公告),01 资产处置公告,disposalDate,（二级）-处置日期,varchar(30),,,
asset_disposal(资产处置公告),01 资产处置公告,assetName,（二级）-处置资产,varchar(100),,,
debt_overdue(债务逾期公告),11 债务逾期公告,overdueInterest,（二级）-逾期金额（欠息）,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
debt_overdue(债务逾期公告),11 债务逾期公告,lender,（二级）-债权方,varchar(100),,,
debt_overdue(债务逾期公告),11 债务逾期公告,debtor,（二级）-借款方,varchar(100),,,
debt_overdue(债务逾期公告),11 债务逾期公告,overdueTotal,（二级）-累计逾期金额,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
debt_overdue(债务逾期公告),11 债务逾期公告,deadline,（二级）-到期日,date,decimal？应该是date吧？,调整为了date，yyyy-MM-dd,
debt_overdue(债务逾期公告),11 债务逾期公告,overduePrincipal,（二级）-逾期金额本金,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
debt_overdue(债务逾期公告),11 债务逾期公告,relation,（二级）-和上市公司关系,varchar(100),,,
ann_sale_assets(出售资产公告),10 出售资产公告,transferee,交易详情-受让方,varchar(100),,,
ann_sale_assets(出售资产公告),10 出售资产公告,dataYear,交易详情-年度,varchar(20),,,
ann_sale_assets(出售资产公告),10 出售资产公告,transferor,交易详情-转让方,varchar(200),,,
ann_sale_assets(出售资产公告),10 出售资产公告,underlyingName,交易详情-标的名称,varchar(200),,,
ann_sale_assets(出售资产公告),10 出售资产公告,netWorth,交易详情-净资产,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
ann_sale_assets(出售资产公告),10 出售资产公告,soldAmount,交易详情-负债总额,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
ann_sale_assets(出售资产公告),10 出售资产公告,operateSold,交易详情-营业收入,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
ann_sale_assets(出售资产公告),10 出售资产公告,purchaseAmount,交易详情-资产总额,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
ann_sale_assets(出售资产公告),10 出售资产公告,operatePurchase,交易详情-净利润,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
annual_key_pollution_discharge(年报-重点排污),14 年报-排污,discharge,是否排污,int(4),是否排污(0:否，1：是）？,是否排污(0:否，1：是）,
interim_notice_accident(临时公告-事故),13 临时公告-事故,accDate,事故时间,date,,"date,格式：yyyy-MM-dd",
interim_notice_accident(临时公告-事故),13 临时公告-事故,accDes,事故描述,varchar(200),,,
interim_notice_accident(临时公告-事故),13 临时公告-事故,accSubject,事故主体,varchar(50),,,
interim_notice_accident(临时公告-事故),13 临时公告-事故,accType,事故类别,varchar(50),int？应该是vachar吧？,调整为varchar,
interim_notice_accident(临时公告-事故),13 临时公告-事故,subcom,与上市公司关系,varchar(50),,,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,avgUnitPriceLast,原材料-上期同期平均采购单价,"decimal(20,4)",原材料-上期同期平均采购单价、原材料平均采购单价单位，转化成万元/吨,单价取原值，新增一个字段 单位,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,unit,原材料-平均采购单价单位,varchar(20),,新增的单位,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,income,按产品、地区、销售渠道的各项收入,"decimal(20,4)",这个在原材料下？需要做独立的字段，且产品、地区、销售渠道分开吧？,删除,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,materialName,原材料-名称,varchar(500),,,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,avgUnitPriceYoy,原材料-同比变动比例（%）,"decimal(20,4)",不需要百分号,原文为 56.2%，输出为 0.562,
regular_operate_data_material(定期经营数据-原材料-临时公告),02 定期经营数据-临时公告,avgUnitPrice,原材料-平均采购单价,"decimal(20,4)",原材料-平均采购单价、原材料平均采购单价单位，转化成万元/吨,单价取原值，新增一个字段 单位,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,clientDate,（二级）-委托时间,date,,,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,client,（二级）-委托方,varchar(500),,,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,trustee,（二级）-被委托方,varchar(500),,,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,sharenumber,（二级）-股份数量,"decimal(20,4)",只需要数字,,
entrust_vote_right(委托表决权相关公告),06 委托表决权相关公告,shareratio,（二级）-股份比例,"decimal(20,4)",不需要百分号,,
asset_seizure_freeze(资产查封冻结公告),21 资产查封冻结公告,bookValue,查封/冻结详情-账面价值,"decimal(20,4)",数值格式，单位换算？单位是？,统一处理成“元”,
