/aa 证券代码
/ab 公司名称
/ac 方案简介
/ad 配套融资金额
/ae 交易金额
/af 股份对价支付数量
/ag 股份对价支付金额
/ah 股票定价方式
/ai 现金支付金额
/aj 披露前上市公司最近一年资产总额
/ak 交易或资产金额占比
/al 交易对方对价情况
/am 收购标的情况-收购标的
/an 收购标的情况-注册地
/ao 收购标的情况-经营场所
/ap 收购标的情况-标的行业
/aq 收购标的情况-标的业务
/ar 收购标的情况-评估方法
/as 收购标的情况-资产评估值
/at 收购标的情况-溢价率
/au 收购标的情况-账面净资产
/av 收购标的情况-标的承诺期第一年净利润
/aw 收购标的情况-标的公司三大财务报表的最近一年的净利润
/ax 收购标的情况-可比公司 静态市盈率 算术平均数
/ay 收购标的情况-可比公司 静态市盈率 中位数
/az 收购标的情况-可比公司 动态市盈率 算术平均数
/ba 收购标的情况-可比公司 动态市盈率 中位数
/bb 收购标的情况-可比公司 市净率 算术平均数
/bc 收购标的情况-可比公司 市净率 中位数
/bd 收购标的情况-市盈率（静态）
/be 收购标的情况-市盈率（动态）
/bf 收购标的情况-市净率
/bg 收购标的情况-交易货币兑人民币汇率
/bh 收购标的情况-应收账款
/bi 收购标的情况-其他应收款
/bj 收购标的情况-流动资产合计
/bk 收购标的情况-营业收入
/bl 收购标的情况-应收票据
/bm 收购标的情况-预付账款
/bn 收购标的情况-存货金额
/bo 收购标的情况-净资产
/bp 收购标的情况-净利润
/bq 收购标的情况-经营活动现金流量净额
/br 收购标的情况-销售费用
/bs 收购标的情况-管理费用
/bt 收购标的情况-资产减值损失
/bu 收购标的情况-营业利润
/bv 收购标的情况-非经常性损益
/bw 收购标的情况-资产负债率
/bx 收购标的情况-存货周转率
/by 收购标的情况-毛利率
/bz 收购标的情况-营业成本
/ca 收购标的情况-交易标的股权方面曾发生的重大事项
/cb 业绩承诺人
/cc 交易对方所属区域
/cd 披露前第一大股东/实际控制人持股比例-股东名称
/ce 披露前第一大股东/实际控制人持股比例-直接持股比例
/cf 披露前第一大股东/实际控制人持股比例-间接持股比例
/cg 披露前第一大股东/实际控制人持股比例-总持股比例
/ch 重组完成后控股股东持股比例-股东名称
/ci 重组完成后控股股东持股比例-直接持股比例
/cj 重组完成后控股股东持股比例-间接持股比例
/ck 重组完成后控股股东持股比例-总持股比例
/cl 现金对价资金来源
/cm 任职关系-姓名
/cn 任职关系-公司
/co 任职关系-职务
/cp 公司上下游关系-上游
/cq 公司上下游关系-下游
/o 无标签
